Richard,Carre de la Buisson,PARIS 75116,01.22.94.12.65,richard.carre-de-la-buisson@yahoo.fr,avocat,01/04/1973
,Marques de la Charles,TOULOUSE 31200,05.28.41.33.55,antoinette.marques-de-la-charles@gmail.com,footballeur,02/11/1987
Genevieve,Guerin de la Gros,,02.21.90.41.80,genevieve.guerin-de-la-gros@gmail.com,avocat,
daisy,Poulain,,04.59.37.69.88,daisy.poulain@gmail.com,chauffeur,04/04/1968
Francoise,Delaunay,BORDEAUX 33100,05.19.13.26.39,francoise.delaunay@yahoo.fr,avocat,03/09/1954
Marthe,Diaz de la Dumas,,02.76.37.28.49,marthe.diaz-de-la-dumas@gmail.com,,23/07/1983
Laurent,Chartier,ST ETIENNE 42100,04.82.49.76.58,laurent.chartier@gmail.com,,02/05/2005
Olivier,du Lebreton,,04.26.35.20.60,olivier.du-lebreton@outlook.fr,banquier,02/12/1960
Auguste,Robert,LYON 69007,04.00.66.03.73,auguste.robert@outlook.fr,banquier,
Susan,de Guyot,PARIS 75001,01.41.50.93.00,susan.de-guyot@gmail.com,journaliste,02/12/1981
Victor,Guerin,LYON 69004,04.78.31.21.75,victor.guerin@outlook.fr,footballeur,
Eric,Lombard,NICE 06200,04.91.06.80.07,eric.lombard@outlook.fr,agriculteur,23/06/1965
,Le Roux,LYON 69009,04.51.84.07.15,,,31/01/1955
Celine,Boulay,PARIS 75001,01.17.92.52.56,celine.boulay@server.fr,medecin,
Gerard-Eric,Maillard,PARIS 75003,01.73.58.73.37,gerard-eric.maillard@gmail.com,ouvrier,08/07/1979
Lucy,Menard,,02.19.06.67.38,lucy.menard@outlook.fr,boulanger,05/11/1959
Augustin,Letellier,LILLE 59260,03.31.85.71.35,augustin.letellier@yahoo.fr,,
Alix,de Roy,LE HAVRE 76610,02.69.05.75.92,alix.de-roy@hotmail.fr,,
Etienne,Roche,,05.86.42.22.57,etienne.roche@gmail.com,,28/05/1991
